URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://globalalliantinc.com/access/ValueSet/ACCESSAlignmentResultVS,0.7.0,draft,,ACCESSAlignmentResultVS,ACCESS Alignment Result Value Set,"This value set includes all codes from the ACCESS Alignment Result code system.",,"Internal"
https://globalalliantinc.com/access/ValueSet/ACCESSBHDiagnosisVS,0.7.0,active,,ACCESSBHDiagnosisVS,ACCESS Behavioral Health (BH) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Behavioral Health (BH) track. Includes depression and anxiety disorder diagnoses.",,"hl7.terminology.r4"
https://globalalliantinc.com/access/ValueSet/ACCESSCKMDiagnosisVS,0.7.0,active,,ACCESSCKMDiagnosisVS,ACCESS Cardio-Kidney-Metabolic (CKM) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Cardio-Kidney-Metabolic (CKM) track. Includes diabetes mellitus (all types), atherosclerotic cardiovascular disease (ASCVD), and chronic kidney disease (CKD stage 3) diagnoses.",,"hl7.terminology.r4"
https://globalalliantinc.com/access/ValueSet/ACCESSEligibilityResultVS,0.7.0,draft,,ACCESSEligibilityResultVS,ACCESS Eligibility Result Value Set,"This value set includes all codes from the ACCESS Eligibility Result code system.",,"Internal"
https://globalalliantinc.com/access/ValueSet/ACCESSEventTypeVS,0.7.0,draft,,ACCESSEventTypeVS,ACCESS Event Types Value Set,"This value set includes all codes from the ACCESS Event Types code system.",,"Internal"
https://globalalliantinc.com/access/ValueSet/ACCESSMSKDiagnosisVS,0.7.0,active,,ACCESSMSKDiagnosisVS,ACCESS Musculoskeletal (MSK) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Musculoskeletal (MSK) track. Includes osteoarthritis, other arthropathies and joint disorders, spine and structural disorders, degenerative spine disease, back pain and radiculopathy, soft tissue/tendon/bursa disorders, and peripheral nerve and plexus disorders.",,"hl7.terminology.r4"
https://globalalliantinc.com/access/ValueSet/ACCESSTrackVS,0.7.0,draft,,ACCESSTrackVS,ACCESS Model Tracks Value Set,"This value set includes all codes from the ACCESS Model Tracks code system.",,"Internal"
https://globalalliantinc.com/access/ValueSet/ACCESSUnalignmentReasonVS,0.7.0,draft,,ACCESSUnalignmentReasonVS,ACCESS Unalignment Reason Value Set,"This value set includes all codes from the ACCESS Unalignment Reason code system.",,"Internal"
https://globalalliantinc.com/access/ValueSet/ACCESSUnalignmentResultVS,0.7.0,draft,,ACCESSUnalignmentResultVS,ACCESS Unalignment Result Value Set,"This value set includes all codes from the ACCESS Unalignment Result code system.",,"Internal"
https://globalalliantinc.com/access/ValueSet/ACCESSeCKMDiagnosisVS,0.7.0,active,,ACCESSeCKMDiagnosisVS,ACCESS Early Cardio-Kidney-Metabolic (eCKM) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Early Cardio-Kidney-Metabolic (eCKM) track. Includes hypertension, dyslipidemia, prediabetes, and obesity diagnoses.",,"hl7.terminology.r4"
